run,ep,unique_cells,bfs_span,boundary_crossings,crosses_2_boundaries,corner_passage,detour_segment,start_end_bfs
d4rl,187,7,6,27,True,True,True,5
d4rl,188,7,6,29,True,True,True,5
d4rl,189,7,6,16,True,True,True,6
d4rl,190,6,5,5,True,True,True,5
d4rl,191,7,6,10,True,True,True,6
d4rl,192,6,5,5,True,True,True,5
d4rl,193,7,6,51,True,True,True,5
d4rl,194,6,5,6,True,True,True,4
d4rl,195,7,6,19,True,True,True,5
d4rl,196,7,6,21,True,True,True,5
d4rl,197,2,1,1,False,False,False,1
d4rl,198,6,5,11,True,True,True,5
d4rl,199,5,4,4,True,True,True,4
d4rl,200,7,6,27,True,True,True,5
d4rl,201,7,6,27,True,True,True,5
d4rl,202,7,6,9,True,True,True,5
d4rl,203,7,6,12,True,True,True,6
d4rl,204,6,5,5,True,True,True,5
d4rl,205,7,6,12,True,True,True,6
d4rl,206,7,6,18,True,True,True,6
d4rl,207,7,6,17,True,True,True,5
d4rl,208,6,5,5,True,True,True,5
d4rl,209,7,6,19,True,True,True,5
d4rl,210,6,5,5,True,True,True,5
d4rl,211,7,6,6,True,True,True,6
d4rl,212,6,5,5,True,True,True,5
d4rl,213,6,5,5,True,True,True,5
d4rl,214,6,5,5,True,True,True,5
d4rl,215,7,6,25,True,True,True,5
d4rl,216,7,6,13,True,True,True,5
d4rl,217,5,4,4,True,True,True,4
d4rl,218,6,5,5,True,True,True,5
d4rl,219,6,5,7,True,True,True,5
d4rl,220,7,6,7,True,True,True,5
d4rl,221,7,6,30,True,True,True,6
d4rl,222,5,4,8,True,True,True,4
d4rl,223,7,6,10,True,True,True,6
d4rl,224,6,5,8,True,True,True,4
d4rl,225,7,6,6,True,True,True,6
d4rl,226,7,6,8,True,True,True,6
d4rl,227,7,6,9,True,True,True,5
d4rl,228,7,6,30,True,True,True,6
d4rl,229,6,5,5,True,True,True,5
d4rl,230,3,2,2,True,False,False,2
d4rl,231,7,6,6,True,True,True,6
d4rl,232,6,5,5,True,True,True,5
d4rl,233,2,1,1,False,False,False,1
d4rl,234,2,1,1,False,False,False,1
d4rl,235,6,5,5,True,True,True,5
d4rl,236,7,6,14,True,True,True,6
d4rl,237,7,6,6,True,True,True,6
d4rl,238,7,6,6,True,True,True,6
d4rl,239,5,4,6,True,True,True,4
d4rl,240,7,6,10,True,True,True,6
d4rl,241,7,6,6,True,True,True,6
d4rl,242,7,6,6,True,True,True,6
d4rl,243,7,6,9,True,True,True,5
d4rl,244,7,6,17,True,True,True,5
d4rl,245,7,6,6,True,True,True,6
d4rl,246,7,6,18,True,True,True,6
d4rl,247,7,6,13,True,True,True,5
d4rl,248,7,6,12,True,True,True,6
d4rl,249,7,6,11,True,True,True,5
d4rl,250,4,3,5,True,True,False,3
d4rl,251,7,6,14,True,True,True,6
d4rl,252,7,6,29,True,True,True,5
d4rl,253,5,4,4,True,True,True,4
d4rl,254,3,2,2,True,False,False,2
d4rl,255,7,6,20,True,True,True,6
d4rl,256,7,6,12,True,True,True,6
d4rl,257,7,6,25,True,True,True,5
d4rl,258,7,6,13,True,True,True,5
d4rl,259,7,6,28,True,True,True,6
d4rl,260,6,5,5,True,True,True,5
d4rl,261,7,6,19,True,True,True,5
d4rl,262,5,4,8,True,True,True,4
d4rl,263,7,6,46,True,True,True,6
d4rl,264,7,6,10,True,True,True,6
d4rl,265,7,6,39,True,True,True,5
d4rl,266,7,6,36,True,True,True,6
d4rl,267,7,6,24,True,True,True,6
d4rl,268,6,5,5,True,True,True,5
d4rl,269,6,5,5,True,True,True,5
d4rl,270,7,6,6,True,True,True,6
d4rl,271,6,5,9,True,True,True,5
d4rl,272,7,6,37,True,True,True,5
d4rl,273,7,6,17,True,True,True,5
d4rl,274,6,5,5,True,True,True,5
d4rl,275,7,6,7,True,True,True,5
d4rl,276,6,5,5,True,True,True,5
d4rl,277,7,6,20,True,True,True,6
d4rl,278,3,2,2,True,False,False,2
d4rl,279,7,6,8,True,True,True,6
d4rl,280,7,6,8,True,True,True,6
d4rl,281,7,6,15,True,True,True,5
d4rl,282,6,5,7,True,True,True,5
d4rl,283,7,6,36,True,True,True,6
d4rl,284,4,3,5,True,True,False,3
d4rl,285,7,6,13,True,True,True,5
d4rl,286,4,3,9,True,True,False,3
d4rl,287,7,6,41,True,True,True,5
d4rl,288,5,4,4,True,True,True,4
d4rl,289,7,6,21,True,True,True,5
d4rl,290,6,5,6,True,True,True,4
d4rl,291,7,6,8,True,True,True,6
d4rl,292,7,6,11,True,True,True,5
d4rl,293,7,6,6,True,True,True,6
d4rl,294,7,6,24,True,True,True,6
d4rl,295,7,6,45,True,True,True,5
d4rl,296,7,6,29,True,True,True,5
d4rl,297,7,6,40,True,True,True,6
d4rl,298,7,6,30,True,True,True,6
d4rl,299,7,6,27,True,True,True,5
d4rl,300,7,6,11,True,True,True,5
d4rl,301,7,6,13,True,True,True,5
d4rl,302,6,5,8,True,True,True,4
d4rl,303,7,6,20,True,True,True,6
d4rl,304,7,6,20,True,True,True,6
d4rl,305,7,6,41,True,True,True,5
d4rl,306,7,6,16,True,True,True,6
d4rl,307,7,6,32,True,True,True,6
d4rl,308,7,6,8,True,True,True,6
d4rl,309,7,6,18,True,True,True,6
d4rl,310,7,6,8,True,True,True,6
d4rl,311,6,5,5,True,True,True,5
d4rl,312,7,6,6,True,True,True,6
d4rl,313,7,6,24,True,True,True,6
d4rl,314,7,6,14,True,True,True,6
d4rl,315,7,6,13,True,True,True,5
d4rl,316,7,6,11,True,True,True,5
d4rl,317,7,6,46,True,True,True,6
d4rl,318,7,6,10,True,True,True,6
d4rl,319,6,5,17,True,True,True,5
d4rl,320,7,6,26,True,True,True,6
d4rl,321,7,6,29,True,True,True,5
d4rl,322,7,6,27,True,True,True,5
d4rl,323,7,6,8,True,True,True,6
d4rl,324,4,3,4,True,True,False,2
d4rl,325,7,6,6,True,True,True,6
d4rl,326,7,6,18,True,True,True,6
d4rl,327,6,5,5,True,True,True,5
d4rl,328,4,3,3,True,True,False,3
d4rl,329,7,6,26,True,True,True,6
d4rl,330,7,6,24,True,True,True,6
d4rl,331,7,6,34,True,True,True,6
d4rl,332,2,1,1,False,False,False,1
d4rl,333,7,6,11,True,True,True,5
d4rl,334,7,6,6,True,True,True,6
d4rl,335,5,4,4,True,True,True,4
d4rl,336,7,6,29,True,True,True,5
d4rl,337,6,5,7,True,True,True,5
d4rl,338,7,6,25,True,True,True,5
d4rl,339,7,6,11,True,True,True,5
d4rl,340,6,5,5,True,True,True,5
d4rl,341,7,6,19,True,True,True,5
d4rl,342,7,6,22,True,True,True,6
d4rl,343,7,6,13,True,True,True,5
d4rl,344,7,6,16,True,True,True,6
d4rl,345,7,6,11,True,True,True,5
d4rl,346,7,6,14,True,True,True,6
d4rl,347,7,6,35,True,True,True,5
d4rl,348,6,5,5,True,True,True,5
d4rl,349,7,6,11,True,True,True,5
d4rl,350,7,6,56,True,True,True,6
d4rl,351,6,5,7,True,True,True,5
d4rl,352,5,4,6,True,True,True,4
d4rl,353,6,5,7,True,True,True,5
d4rl,354,5,4,4,True,True,True,4
d4rl,355,7,6,26,True,True,True,6
d4rl,356,7,6,29,True,True,True,5
d4rl,357,7,6,17,True,True,True,5
d4rl,358,6,5,5,True,True,True,5
d4rl,359,7,6,32,True,True,True,6
d4rl,360,5,4,4,True,True,True,4
d4rl,361,7,6,7,True,True,True,5
d4rl,362,7,6,6,True,True,True,6
d4rl,363,5,4,4,True,True,True,4
d4rl,364,7,6,13,True,True,True,5
d4rl,365,7,6,28,True,True,True,6
d4rl,366,7,6,55,True,True,True,5
d4rl,367,7,6,22,True,True,True,6
d4rl,368,5,4,10,True,True,True,4
d4rl,369,7,6,8,True,True,True,6
d4rl,370,7,6,16,True,True,True,6
d4rl,371,7,6,6,True,True,True,6
d4rl,372,7,6,6,True,True,True,6
d4rl,373,7,6,6,True,True,True,6
d4rl,374,5,4,6,True,True,True,4
d4rl,375,6,5,11,True,True,True,5
d4rl,376,7,6,33,True,True,True,5
d4rl,377,7,6,8,True,True,True,6
d4rl,378,7,6,23,True,True,True,5
d4rl,379,7,6,35,True,True,True,5
d4rl,380,4,3,3,True,True,False,3
d4rl,381,7,6,8,True,True,True,6
d4rl,382,7,6,25,True,True,True,5
d4rl,383,7,6,6,True,True,True,6
d4rl,384,7,6,34,True,True,True,6
d4rl,385,7,6,6,True,True,True,6
d4rl,386,5,4,4,True,True,True,4
d4rl,387,7,6,33,True,True,True,5
d4rl,388,7,6,22,True,True,True,6
d4rl,389,5,4,4,True,True,True,4
d4rl,390,7,6,36,True,True,True,6
d4rl,391,4,3,3,True,True,False,3
d4rl,392,7,6,10,True,True,True,6
d4rl,393,7,6,6,True,True,True,6
d4rl,394,5,4,4,True,True,True,4
d4rl,395,2,1,1,False,False,False,1
d4rl,396,7,6,22,True,True,True,6
d4rl,397,5,4,14,True,True,True,4
d4rl,398,3,2,2,True,False,False,2
d4rl,399,7,6,33,True,True,True,5
d4rl,400,5,4,8,True,True,True,4
d4rl,401,7,6,30,True,True,True,6
d4rl,402,7,6,56,True,True,True,6
d4rl,403,7,6,6,True,True,True,6
d4rl,404,2,1,24,True,False,False,0
d4rl,405,7,6,36,True,True,True,6
d4rl,406,7,6,9,True,True,True,5
d4rl,407,7,6,26,True,True,True,6
d4rl,408,7,6,20,True,True,True,6
d4rl,409,4,3,3,True,True,False,3
d4rl,410,7,6,10,True,True,True,6
d4rl,411,7,6,8,True,True,True,6
d4rl,412,7,6,6,True,True,True,6
d4rl,413,7,6,12,True,True,True,6
d4rl,414,6,5,5,True,True,True,5
d4rl,415,7,6,34,True,True,True,6
d4rl,416,7,6,8,True,True,True,6
d4rl,417,5,4,4,True,True,True,4
d4rl,418,6,5,8,True,True,True,4
d4rl,419,7,6,24,True,True,True,6
d4rl,420,5,4,4,True,True,True,4
d4rl,421,7,6,13,True,True,True,5
d4rl,422,6,5,5,True,True,True,5
d4rl,423,5,4,4,True,True,True,4
d4rl,424,7,6,7,True,True,True,5
d4rl,425,7,6,21,True,True,True,5
d4rl,426,7,6,26,True,True,True,6
d4rl,427,6,5,5,True,True,True,5
d4rl,428,7,6,9,True,True,True,5
d4rl,429,7,6,6,True,True,True,6
d4rl,430,7,6,6,True,True,True,6
d4rl,431,7,6,47,True,True,True,5
d4rl,432,7,6,8,True,True,True,6
d4rl,433,7,6,39,True,True,True,5
d4rl,434,7,6,39,True,True,True,5
d4rl,435,5,4,14,True,True,True,4
d4rl,436,7,6,16,True,True,True,6
d4rl,437,6,5,5,True,True,True,5
d4rl,438,6,5,5,True,True,True,5
d4rl,439,7,6,17,True,True,True,5
d4rl,440,7,6,47,True,True,True,5
d4rl,441,5,4,4,True,True,True,4
d4rl,442,7,6,33,True,True,True,5
d4rl,443,6,5,6,True,True,True,4
d4rl,444,4,3,7,True,True,False,3
d4rl,445,6,5,5,True,True,True,5
d4rl,446,7,6,21,True,True,True,5
d4rl,447,7,6,10,True,True,True,6
d4rl,448,6,5,7,True,True,True,5
d4rl,449,7,6,10,True,True,True,6
d4rl,450,6,5,5,True,True,True,5
d4rl,451,7,6,18,True,True,True,6
d4rl,452,6,5,7,True,True,True,5
d4rl,453,3,2,2,True,False,False,2
d4rl,454,7,6,6,True,True,True,6
d4rl,455,7,6,14,True,True,True,6
d4rl,456,3,2,2,True,False,False,2
d4rl,457,7,6,34,True,True,True,6
d4rl,458,7,6,25,True,True,True,5
d4rl,459,7,6,22,True,True,True,6
d4rl,460,5,4,4,True,True,True,4
d4rl,461,5,4,4,True,True,True,4
d4rl,462,6,5,5,True,True,True,5
d4rl,463,7,6,20,True,True,True,6
d4rl,464,5,4,4,True,True,True,4
d4rl,465,7,6,9,True,True,True,5
d4rl,466,7,6,31,True,True,True,5
d4rl,467,6,5,5,True,True,True,5
d4rl,468,7,6,30,True,True,True,6
d4rl,469,7,6,11,True,True,True,5
d4rl,470,7,6,33,True,True,True,5
d4rl,471,7,6,13,True,True,True,5
d4rl,472,7,6,25,True,True,True,5
d4rl,473,7,6,17,True,True,True,5
d4rl,474,6,5,5,True,True,True,5
d4rl,475,7,6,11,True,True,True,5
d4rl,476,2,1,1,False,False,False,1
d4rl,477,7,6,21,True,True,True,5
d4rl,478,7,6,16,True,True,True,6
d4rl,479,7,6,26,True,True,True,6
d4rl,480,7,6,27,True,True,True,5
d4rl,481,7,6,14,True,True,True,6
d4rl,482,7,6,7,True,True,True,5
d4rl,483,7,6,11,True,True,True,5
d4rl,484,7,6,20,True,True,True,6
d4rl,485,7,6,6,True,True,True,6
d4rl,486,7,6,10,True,True,True,6
d4rl,487,6,5,6,True,True,True,4
d4rl,488,3,2,2,True,False,False,2
d4rl,489,7,6,29,True,True,True,5
d4rl,490,5,4,4,True,True,True,4
d4rl,491,7,6,14,True,True,True,6
d4rl,492,6,5,6,True,True,True,4
d4rl,493,7,6,9,True,True,True,5
d4rl,494,2,1,1,False,False,False,1
d4rl,495,6,5,5,True,True,True,5
d4rl,496,7,6,8,True,True,True,6
d4rl,497,7,6,11,True,True,True,5
d4rl,498,7,6,28,True,True,True,6
d4rl,499,7,6,8,True,True,True,6
d4rl,500,7,6,6,True,True,True,6
d4rl,501,7,6,6,True,True,True,6
d4rl,502,5,4,4,True,True,True,4
d4rl,503,7,6,31,True,True,True,5
d4rl,504,7,6,32,True,True,True,6
d4rl,505,7,6,6,True,True,True,6
d4rl,506,7,6,21,True,True,True,5
d4rl,507,7,6,21,True,True,True,5
d4rl,508,7,6,9,True,True,True,5
d4rl,509,6,5,7,True,True,True,5
d4rl,510,7,6,8,True,True,True,6
d4rl,511,7,6,11,True,True,True,5
d4rl,512,7,6,45,True,True,True,5
d4rl,513,6,5,8,True,True,True,4
d4rl,514,7,6,8,True,True,True,6
d4rl,515,6,5,6,True,True,True,4
d4rl,516,7,6,27,True,True,True,5
d4rl,517,7,6,12,True,True,True,6
d4rl,518,5,4,6,True,True,True,4
d4rl,519,7,6,6,True,True,True,6
d4rl,520,7,6,6,True,True,True,6
d4rl,521,6,5,11,True,True,True,5
d4rl,522,6,5,7,True,True,True,5
d4rl,523,5,4,6,True,True,True,4
d4rl,524,7,6,15,True,True,True,5
d4rl,525,7,6,9,True,True,True,5
d4rl,526,6,5,5,True,True,True,5
d4rl,527,7,6,6,True,True,True,6
d4rl,528,7,6,16,True,True,True,6
d4rl,529,2,1,1,False,False,False,1
d4rl,530,6,5,5,True,True,True,5
d4rl,531,7,6,10,True,True,True,6
d4rl,532,6,5,5,True,True,True,5
d4rl,533,6,5,5,True,True,True,5
d4rl,534,7,6,37,True,True,True,5
d4rl,535,6,5,7,True,True,True,5
d4rl,536,7,6,21,True,True,True,5
d4rl,537,5,4,4,True,True,True,4
d4rl,538,7,6,7,True,True,True,5
d4rl,539,7,6,6,True,True,True,6
d4rl,540,7,6,39,True,True,True,5
d4rl,541,6,5,5,True,True,True,5
d4rl,542,6,5,5,True,True,True,5
d4rl,543,7,6,18,True,True,True,6
d4rl,544,7,6,31,True,True,True,5
d4rl,545,3,2,2,True,False,False,2
d4rl,546,7,6,12,True,True,True,6
d4rl,547,6,5,7,True,True,True,5
d4rl,548,6,5,5,True,True,True,5
d4rl,549,7,6,39,True,True,True,5
d4rl,550,7,6,24,True,True,True,6
d4rl,551,7,6,12,True,True,True,6
d4rl,552,7,6,23,True,True,True,5
d4rl,553,7,6,8,True,True,True,6
d4rl,554,7,6,10,True,True,True,6
d4rl,555,7,6,17,True,True,True,5
d4rl,556,5,4,4,True,True,True,4
d4rl,557,3,2,6,True,False,False,2
d4rl,558,7,6,9,True,True,True,5
d4rl,559,6,5,5,True,True,True,5
d4rl,560,6,5,9,True,True,True,5
d4rl,561,7,6,16,True,True,True,6
d4rl,562,7,6,30,True,True,True,6
d4rl,563,7,6,26,True,True,True,6
d4rl,564,7,6,10,True,True,True,6
d4rl,565,7,6,21,True,True,True,5
d4rl,566,7,6,11,True,True,True,5
d4rl,567,7,6,10,True,True,True,6
d4rl,568,7,6,9,True,True,True,5
d4rl,569,4,3,3,True,True,False,3
d4rl,570,7,6,18,True,True,True,6
d4rl,571,5,4,5,True,True,True,3
d4rl,572,7,6,6,True,True,True,6
d4rl,573,7,6,13,True,True,True,5
d4rl,574,7,6,15,True,True,True,5
d4rl,575,5,4,4,True,True,True,4
d4rl,576,7,6,10,True,True,True,6
d4rl,577,7,6,32,True,True,True,6
d4rl,578,7,6,17,True,True,True,5
d4rl,579,6,5,6,True,True,True,4
d4rl,580,7,6,22,True,True,True,6
d4rl,581,7,6,39,True,True,True,5
d4rl,582,7,6,23,True,True,True,5
d4rl,583,7,6,16,True,True,True,6
d4rl,584,6,5,5,True,True,True,5
d4rl,585,7,6,37,True,True,True,5
d4rl,586,7,6,6,True,True,True,6
d4rl,587,3,2,2,True,False,False,2
d4rl,588,7,6,34,True,True,True,6
d4rl,589,7,6,16,True,True,True,6
d4rl,590,7,6,34,True,True,True,6
d4rl,591,7,6,8,True,True,True,6
d4rl,592,7,6,20,True,True,True,6
d4rl,593,7,6,14,True,True,True,6
d4rl,594,5,4,4,True,True,True,4
d4rl,595,7,6,10,True,True,True,6
d4rl,596,7,6,6,True,True,True,6
d4rl,597,7,6,10,True,True,True,6
d4rl,598,7,6,6,True,True,True,6
d4rl,599,7,6,10,True,True,True,6
d4rl,600,6,5,5,True,True,True,5
d4rl,601,7,6,16,True,True,True,6
d4rl,602,3,2,2,True,False,False,2
d4rl,603,6,5,5,True,True,True,5
d4rl,604,7,6,12,True,True,True,6
d4rl,605,7,6,50,True,True,True,6
d4rl,606,7,6,17,True,True,True,5
d4rl,607,6,5,9,True,True,True,5
d4rl,608,5,4,4,True,True,True,4
d4rl,609,7,6,9,True,True,True,5
d4rl,610,7,6,21,True,True,True,5
d4rl,611,7,6,9,True,True,True,5
d4rl,612,7,6,29,True,True,True,5
d4rl,613,7,6,13,True,True,True,5
d4rl,614,7,6,10,True,True,True,6
d4rl,615,7,6,16,True,True,True,6
d4rl,616,7,6,6,True,True,True,6
d4rl,617,7,6,35,True,True,True,5
d4rl,618,7,6,16,True,True,True,6
d4rl,619,7,6,8,True,True,True,6
d4rl,620,6,5,7,True,True,True,5
d4rl,621,7,6,13,True,True,True,5
d4rl,622,7,6,27,True,True,True,5
d4rl,623,7,6,12,True,True,True,6
d4rl,624,7,6,15,True,True,True,5
d4rl,625,7,6,13,True,True,True,5
d4rl,626,7,6,39,True,True,True,5
d4rl,627,5,4,4,True,True,True,4
d4rl,628,7,6,15,True,True,True,5
d4rl,629,7,6,10,True,True,True,6
d4rl,630,6,5,5,True,True,True,5
d4rl,631,6,5,5,True,True,True,5
d4rl,632,7,6,56,True,True,True,6
d4rl,633,4,3,5,True,True,False,3
d4rl,634,7,6,10,True,True,True,6
d4rl,635,7,6,14,True,True,True,6
d4rl,636,7,6,37,True,True,True,5
d4rl,637,7,6,8,True,True,True,6
d4rl,638,6,5,6,True,True,True,4
d4rl,639,7,6,19,True,True,True,5
d4rl,640,7,6,17,True,True,True,5
d4rl,641,7,6,9,True,True,True,5
d4rl,642,7,6,12,True,True,True,6
d4rl,643,7,6,8,True,True,True,6
d4rl,644,7,6,14,True,True,True,6
d4rl,645,6,5,5,True,True,True,5
d4rl,646,7,6,22,True,True,True,6
d4rl,647,7,6,8,True,True,True,6
d4rl,648,7,6,20,True,True,True,6
d4rl,649,7,6,8,True,True,True,6
d4rl,650,7,6,11,True,True,True,5
d4rl,651,7,6,11,True,True,True,5
d4rl,652,7,6,17,True,True,True,5
d4rl,653,7,6,12,True,True,True,6
d4rl,654,6,5,12,True,True,True,4
d4rl,655,7,6,20,True,True,True,6
d4rl,656,3,2,2,True,False,False,2
d4rl,657,7,6,36,True,True,True,6
d4rl,658,3,2,2,True,False,False,2
d4rl,659,7,6,30,True,True,True,6
d4rl,660,7,6,8,True,True,True,6
